id,section,order_index,question_text,tip_discussion,triggered_patterns,created_at,IsActive,updated_at
1,Leadership & Strategy,1,What is the organization's top-level strategic vision for AI over the next 3 years?,"Look for specifics: Is there a formal AI roadmap? Is AI mentioned in the annual report? Who is driving it—CEO, CTO, or a dedicated CAIO?","[""AI Strategy Advisor"",""Innovation Portfolio Manager""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
2,Leadership & Strategy,2,Who holds the ultimate decision-making authority and budget for AI investments?,"Identify if this is the CEO, CTO, CIO, or a dedicated CAIO. Check if budget is centralized (one pool) or distributed across departments.","[""Governance Framework Setup"",""Executive Dashboard""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
3,Leadership & Strategy,3,How does the organization currently measure the success of technology or digital transformation initiatives?,"Probe for specific KPIs: ROI, time-to-market, efficiency gains, cost savings, or user adoption rates. Are these tracked systematically?","[""Transformation KPI Tracker"",""Value Realization Office""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
4,Leadership & Strategy,4,"Has the organization undergone any major digital transformations in the last 3 years, and if so, what were the outcomes?",Understand their change appetite. Did they succeed? Fail? What were the cultural impacts? This reveals their readiness for AI-led change.,"[""Change Management Predictor"",""Legacy Migration Planner""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
5,Leadership & Strategy,5,"Is there a formal AI ethics, governance, or responsible AI policy currently in place?","Ask about responsible AI, bias testing, transparency requirements, and who oversees ethical AI usage.","[""AI Governance Framework"",""Bias Detection Suite""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
6,IT / Technology,6,"What is the current state of your cloud infrastructure (On-prem, Hybrid, Cloud-native)?","Assess maturity: Are they lifting-and-shifting legacy apps, or building cloud-native microservices? Do they use containers (Docker/K8s)?","[""Cloud Optimization Agent"",""Application Modernization Planner""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
7,IT / Technology,7,How mature is your API ecosystem and system integration capability?,Do they have an API gateway? Are systems tightly coupled (point-to-point) or loosely coupled (event-driven)?,"[""API Discovery & Governance"",""Integration Accelerator""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
8,IT / Technology,8,What does your current software development lifecycle (SDLC) and DevOps velocity look like?,"Probe for deployment frequency, lead time for changes, mean time to recovery (MTTR). Do they practice CI/CD?","[""DevOps Assistant"",""CI/CD Pipeline Optimizer""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
9,IT / Technology,9,What are the top 3 legacy systems or technical debts that are currently constraining your business?,"Identify mainframe, outdated ERPs, or custom monolithic code that hinders AI adoption and integration.","[""Legacy Modernization Copilot"",""Technical Debt Analyzer""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
10,IT / Technology,10,How do you currently manage vendor lock-in risk for your core technology platforms?,Are there open-source alternatives? Are their contracts flexible? Do they have a multi-cloud or hybrid strategy?,"[""Vendor Risk Intelligence"",""Multi-Cloud Strategy Planner""]",2026-07-25 05:10:59.627302+00,true,2026-07-26 10:04:12.446114+00
